iter	Passed	Remaining
0	1	123
1	2	112
2	4	149
3	6	155
4	7	147
5	9	148
6	10	136
7	11	128
8	12	124
9	13	118
10	14	119
11	15	114
12	16	110
13	17	105
14	17	101
15	20	105
16	23	112
17	24	111
18	25	107
19	26	104
20	26	101
21	27	98
22	29	97
23	29	94
24	30	92
25	31	90
26	32	87
27	33	86
28	34	85
29	37	88
30	39	86
31	39	84
32	41	83
33	42	81
34	43	81
35	44	79
36	45	78
37	46	76
38	47	75
39	52	79
40	53	77
41	54	75
42	55	73
43	56	72
44	57	70
45	58	68
46	59	67
47	60	65
48	61	64
49	62	62
50	65	62
51	67	62
52	68	60
53	69	58
54	69	57
55	70	55
56	71	54
57	72	52
58	72	50
59	73	49
60	74	47
61	74	45
62	75	44
63	76	42
64	77	41
65	77	40
66	78	38
67	80	37
68	81	36
69	82	35
70	82	33
71	83	32
72	84	31
73	84	29
74	85	28
75	86	27
76	86	25
77	87	24
78	88	23
79	88	22
80	89	20
81	90	19
82	90	18
83	91	17
84	92	16
85	92	15
86	94	14
87	96	13
88	97	12
89	99	11
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	103	4
96	103	3
97	104	2
98	105	1
99	105	0
